,age,workclass,fnlwgt,education,education_num,martial_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,country,target,biased_pred,adv_pred,lfr_pred,eq_pred,roc_pred,adveq_pred,adv_change,lfr_change,roc_change,eq_change,adveq_change
5981,44,Local-gov,236321,HS-grad,9,Divorced,Transport-moving,Own-child,White,Male,0,0,25,United-States,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0
9119,28,Private,103389,Masters,14,Divorced,Sales,Own-child,White,Female,0,0,40,United-States,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0
13825,54,Self-emp-not-inc,205066,10th,6,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,36,United-States,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0
26613,28,Private,90915,Bachelors,13,Married-spouse-absent,Tech-support,Unmarried,Black,Female,0,0,40,United-States,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0
63,42,Private,116632,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,45,United-States,1,1,1.0,1,1,1.0,1,0.0,0,0.0,0,0
25595,50,Self-emp-inc,304955,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,60,United-States,1,1,1.0,1,1,0.0,1,0.0,0,-1.0,0,0
23999,44,Self-emp-inc,120277,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,99999,0,45,United-States,1,1,1.0,1,1,1.0,1,0.0,0,0.0,0,0
8379,61,Private,160037,7th-8th,4,Divorced,Other-service,Not-in-family,White,Male,0,0,35,United-States,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0
5129,60,Self-emp-not-inc,143932,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,0,1,0.0,1,1,0.0,1,-1.0,0,-1.0,0,0
12761,21,Private,329530,11th,7,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,Mexico,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0
20986,32,Federal-gov,145983,Some-college,10,Married-civ-spouse,Tech-support,Wife,White,Female,0,0,40,United-States,0,0,1.0,1,0,0.0,0,1.0,1,0.0,0,0
1316,35,Private,119098,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,7298,0,40,United-States,1,1,1.0,1,1,1.0,1,0.0,0,0.0,0,0
9659,25,Private,154863,HS-grad,9,Never-married,Adm-clerical,Unmarried,Black,Male,0,0,35,United-States,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0
20267,17,Private,170455,11th,7,Never-married,Sales,Own-child,White,Female,0,0,8,United-States,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0
5507,25,Private,139730,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,80,United-States,1,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0
19070,51,Private,360131,5th-6th,3,Married-civ-spouse,Craft-repair,Other-relative,White,Female,0,0,40,United-States,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0
5433,56,State-gov,81954,HS-grad,9,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0
14419,31,Private,247444,Assoc-voc,11,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,Columbia,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0
13909,37,Self-emp-not-inc,181553,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Male,0,0,50,United-States,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0
27793,50,Private,195638,10th,6,Separated,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0
4987,47,Local-gov,39986,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,0,1,0.0,1,1,0.0,1,-1.0,0,-1.0,0,0
6347,24,Private,163053,Bachelors,13,Never-married,Sales,Not-in-family,White,Female,0,0,40,United-States,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0
17007,25,Private,195914,Some-college,10,Never-married,Sales,Own-child,Black,Female,3418,0,30,United-States,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0
27239,34,Local-gov,144182,Preschool,1,Never-married,Adm-clerical,Own-child,Black,Female,0,0,25,United-States,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0
24424,29,Private,100764,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,45,United-States,1,1,0.0,1,1,0.0,1,-1.0,0,-1.0,0,0
4423,35,Private,417136,HS-grad,9,Divorced,Craft-repair,Unmarried,Black,Male,0,0,40,United-States,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0
31797,36,Private,218015,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,48,United-States,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0
13011,36,Private,316298,Bachelors,13,Never-married,Tech-support,Own-child,White,Male,0,0,40,United-States,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0
10669,24,Private,200679,HS-grad,9,Never-married,Farming-fishing,Own-child,Black,Male,0,0,50,United-States,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0
28773,21,,123983,Some-college,10,Never-married,,Other-relative,Asian-Pac-Islander,Male,0,0,10,Vietnam,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0
19382,58,Private,194733,Assoc-acdm,12,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,1,1,0.0,0,0,0.0,0,-1.0,-1,-1.0,-1,-1
23614,31,Private,175509,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,50,United-States,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0
12056,17,Private,159849,11th,7,Never-married,Protective-serv,Own-child,White,Female,0,0,30,United-States,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0
4200,18,,395567,11th,7,Never-married,,Own-child,White,Male,0,0,40,United-States,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0
22895,88,Private,68539,Some-college,10,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0
4918,41,Self-emp-not-inc,443508,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0
13543,54,Private,159755,Some-college,10,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,United-States,1,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0
16729,45,Private,77085,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,0,0,40,Japan,1,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0
19948,63,Private,34098,10th,6,Widowed,Farming-fishing,Unmarried,White,Female,0,0,56,United-States,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0
14594,51,Private,339905,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,7688,0,40,United-States,1,1,1.0,0,1,0.0,1,0.0,-1,-1.0,0,0
7978,37,Private,197429,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,45,United-States,1,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0
30898,17,Local-gov,192387,9th,5,Never-married,Other-service,Own-child,White,Male,0,0,45,United-States,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0
29376,35,Private,336793,Bachelors,13,Never-married,Adm-clerical,Other-relative,White,Male,0,0,40,United-States,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0
24699,52,Self-emp-not-inc,174752,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0
13607,20,Private,217467,Some-college,10,Never-married,Craft-repair,Own-child,White,Male,0,0,40,United-States,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0
741,55,Self-emp-not-inc,200939,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,72,United-States,0,0,0.0,0,0,0.0,1,0.0,0,0.0,0,1
5075,36,Self-emp-not-inc,20333,HS-grad,9,Married-civ-spouse,Sales,Wife,White,Female,7688,0,40,United-States,1,1,1.0,1,1,1.0,1,0.0,0,0.0,0,0
12387,34,Private,684015,5th-6th,3,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,40,El-Salvador,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0
2237,37,State-gov,160402,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,55,United-States,1,1,0.0,0,1,0.0,1,-1.0,-1,-1.0,0,0
17233,25,Private,352806,HS-grad,9,Divorced,Other-service,Not-in-family,White,Female,0,0,40,Mexico,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0
14023,23,Private,376416,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,40,United-States,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0
21018,23,Private,346480,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,50,United-States,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0
15907,34,Private,34862,Bachelors,13,Divorced,Sales,Not-in-family,Amer-Indian-Eskimo,Male,0,1564,60,United-States,1,1,1.0,1,1,0.0,0,0.0,0,-1.0,0,-1
17417,35,Private,63921,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0
8419,56,Private,199763,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,45,United-States,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0
19752,32,Private,178615,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,2407,0,40,United-States,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0
24892,63,Private,207385,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,30,United-States,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0
28355,21,Private,138768,Some-college,10,Never-married,Sales,Other-relative,White,Male,0,0,40,United-States,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0
200,26,Private,397317,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Female,0,1876,40,United-States,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0
11069,34,Self-emp-not-inc,234960,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,Black,Male,0,1887,48,United-States,1,1,1.0,1,1,1.0,1,0.0,0,0.0,0,0
26984,42,Private,66755,7th-8th,4,Married-civ-spouse,Craft-repair,Husband,Other,Male,0,0,40,United-States,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0
14857,72,Private,97304,HS-grad,9,Married-spouse-absent,Machine-op-inspct,Unmarried,White,Male,2346,0,40,,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0
21524,37,,299090,HS-grad,9,Divorced,,Not-in-family,White,Female,0,0,30,United-States,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0
1820,25,Private,282063,7th-8th,4,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,Mexico,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0
5235,22,Private,271274,11th,7,Never-married,Sales,Not-in-family,White,Female,0,0,40,United-States,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0
19473,36,Private,114059,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,45,United-States,0,1,1.0,1,1,0.0,1,0.0,0,-1.0,0,0
29829,50,Private,46155,Assoc-voc,11,Divorced,Prof-specialty,Unmarried,White,Female,0,0,40,United-States,1,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0
25522,66,,108185,9th,5,Married-civ-spouse,,Husband,Black,Male,0,0,40,United-States,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0
17973,25,Private,67467,HS-grad,9,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,United-States,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0
16577,35,Private,166549,12th,8,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0
12244,76,Private,98695,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,20,United-States,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0
19642,25,Private,176836,Some-college,10,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,60,United-States,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0
20844,50,Private,108446,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,0,1,0.0,0,1,0.0,1,-1.0,-1,-1.0,0,0
13834,23,Private,109199,5th-6th,3,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,Mexico,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0
30831,36,State-gov,747719,Prof-school,15,Married-civ-spouse,Prof-specialty,Wife,White,Female,15024,0,50,United-States,1,1,1.0,1,0,1.0,1,0.0,0,0.0,-1,0
8516,18,Private,135315,9th,5,Never-married,Sales,Own-child,Other,Female,0,0,32,United-States,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0
11175,21,Private,344492,Some-college,10,Never-married,Other-service,Own-child,White,Female,0,0,30,United-States,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0
15343,46,Private,144351,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,1,1,1.0,1,1,0.0,1,0.0,0,-1.0,0,0
28685,36,Private,172129,9th,5,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,United-States,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0
16772,39,Private,108069,Some-college,10,Never-married,Craft-repair,Unmarried,White,Female,0,0,40,United-States,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0
1963,49,Private,268022,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,United-States,1,1,0.0,1,1,0.0,1,-1.0,0,-1.0,0,0
7145,34,Private,213722,HS-grad,9,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,40,United-States,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0
10000,34,Private,120461,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,50,United-States,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0
27518,62,,125493,HS-grad,9,Married-civ-spouse,,Wife,White,Female,5178,0,40,Scotland,1,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0
22003,72,Self-emp-not-inc,284120,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0
9266,53,Local-gov,20676,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,Amer-Indian-Eskimo,Male,0,0,48,United-States,0,1,0.0,0,0,0.0,0,-1.0,-1,-1.0,-1,-1
26039,33,Private,40681,Assoc-acdm,12,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0
16510,33,State-gov,175023,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,37,United-States,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0
12358,35,Private,142282,Some-college,10,Separated,Other-service,Unmarried,White,Female,0,0,25,United-States,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0
27500,40,Private,262872,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0
21371,30,Private,207668,Bachelors,13,Never-married,Tech-support,Not-in-family,White,Male,0,0,60,Hungary,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0
18706,73,Self-emp-not-inc,336007,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0
13968,22,Private,72310,11th,7,Never-married,Transport-moving,Not-in-family,White,Male,0,0,65,United-States,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0
23313,56,Private,117872,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,Black,Male,0,0,40,United-States,1,1,0.0,0,0,0.0,0,-1.0,-1,-1.0,-1,-1
14315,48,Private,315423,5th-6th,3,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0
22101,21,,262280,Some-college,10,Married-civ-spouse,,Wife,White,Female,3781,0,40,United-States,0,0,0.0,1,0,0.0,0,0.0,1,0.0,0,0
18964,19,,28967,Some-college,10,Never-married,,Not-in-family,White,Male,0,0,40,United-States,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0
12007,36,,186815,Masters,14,Married-civ-spouse,,Husband,White,Male,0,0,50,United-States,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0
30216,55,Private,227856,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,7298,0,60,United-States,1,1,1.0,1,1,1.0,1,0.0,0,0.0,0,0
18948,50,Local-gov,153064,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,5178,0,40,United-States,1,1,1.0,0,1,0.0,1,0.0,-1,-1.0,0,0
15243,39,Private,187847,HS-grad,9,Divorced,Machine-op-inspct,Own-child,White,Male,0,0,50,United-States,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0
22024,41,Private,142579,Bachelors,13,Widowed,Sales,Unmarried,Black,Male,0,0,50,United-States,0,0,0.0,1,0,0.0,0,0.0,1,0.0,0,0
18305,21,Private,315303,Some-college,10,Never-married,Other-service,Own-child,Black,Male,0,0,20,United-States,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0
28395,36,Private,252231,Preschool,1,Never-married,Machine-op-inspct,Not-in-family,Black,Male,0,0,40,Puerto-Rico,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0
22269,42,Private,246011,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,55,United-States,0,1,1.0,1,1,1.0,1,0.0,0,0.0,0,0
20198,25,Private,177017,HS-grad,9,Never-married,Sales,Not-in-family,White,Male,0,1504,37,United-States,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0
9066,29,Private,134890,Assoc-voc,11,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,40,United-States,1,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0
24732,47,Private,159726,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,85,United-States,1,1,0.0,0,0,0.0,1,-1.0,-1,-1.0,-1,0
23495,56,Private,170324,5th-6th,3,Married-civ-spouse,Craft-repair,Husband,Black,Male,0,0,40,Trinadad&Tobago,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0
16522,28,Local-gov,251854,Some-college,10,Never-married,Adm-clerical,Unmarried,Black,Female,0,0,40,United-States,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0
5732,22,Private,117789,Some-college,10,Never-married,Prof-specialty,Own-child,White,Female,0,0,10,United-States,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0
14406,41,Private,106900,Bachelors,13,Married-civ-spouse,Tech-support,Husband,White,Male,0,1902,42,United-States,1,1,1.0,1,1,1.0,1,0.0,0,0.0,0,0
7975,33,Private,238912,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,60,United-States,1,1,1.0,1,1,1.0,1,0.0,0,0.0,0,0
30669,41,Self-emp-inc,177905,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,7688,0,70,United-States,1,1,1.0,1,1,1.0,1,0.0,0,0.0,0,0
31218,31,Private,109055,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,3137,0,45,United-States,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0
2708,46,Private,189763,HS-grad,9,Divorced,Sales,Not-in-family,White,Female,0,0,30,United-States,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0
26495,39,Private,336880,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,1,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0
