index,age,workclass,education,education_num,martial_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,country,target,adv_label,eq_odds_label,lfr_label,adv_pre_label,eq_pre_label,lfr_pre_label,adv_change,eq_change,lfr_change,all_methods_agree
14753,56,Private,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,Female,0,1617,40,United-States,<=50K,0,0,0,0,0,0,0,0,0,1
20428,22,Private,Some-college,10,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,40,United-States,<=50K,0,0,0,0,0,0,0,0,0,1
17540,48,Private,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,1902,40,China,>50K,1,1,1,1,1,1,0,0,0,1
25647,22,Private,12th,8,Never-married,Handlers-cleaners,Own-child,Amer-Indian-Eskimo,Male,0,0,40,United-States,<=50K,0,0,0,0,0,0,0,0,0,1
16191,36,Private,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,4865,0,40,United-States,<=50K,0,0,0,0,0,0,0,0,0,1
27970,62,Private,Assoc-voc,11,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,45,United-States,>50K,1,1,1,1,1,1,0,0,0,1
22265,42,Private,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,France,<=50K,1,0,1,0,0,0,1,0,1,0
1776,23,Private,11th,7,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,<=50K,0,0,0,0,0,0,0,0,0,1
8231,57,Private,HS-grad,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,15,United-States,<=50K,0,0,0,0,0,0,0,0,0,1
2672,38,Private,Prof-school,15,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,50,United-States,<=50K,1,0,0,0,0,0,1,0,0,0
106,17,,10th,6,Never-married,,Own-child,White,Female,34095,0,32,United-States,<=50K,1,1,0,1,1,1,0,0,-1,0
31085,42,Local-gov,11th,7,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,<=50K,0,0,0,0,0,0,0,0,0,1
15955,51,Private,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,>50K,0,0,0,0,0,0,0,0,0,1
3803,25,Private,HS-grad,9,Never-married,Other-service,Own-child,White,Male,0,0,30,United-States,<=50K,0,0,0,0,0,0,0,0,0,1
17743,41,Private,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,United-States,>50K,0,0,0,0,0,0,0,0,0,1
6246,23,Private,Some-college,10,Never-married,Craft-repair,Own-child,White,Male,0,0,37,Mexico,<=50K,0,0,0,0,0,0,0,0,0,1
10111,29,Private,11th,7,Married-civ-spouse,Craft-repair,Husband,White,Male,3942,0,50,United-States,<=50K,0,0,0,0,0,0,0,0,0,1
31184,33,Private,HS-grad,9,Never-married,Other-service,Own-child,White,Male,0,0,40,United-States,<=50K,0,0,0,0,0,0,0,0,0,1
31768,45,Private,Bachelors,13,Never-married,Tech-support,Own-child,White,Male,0,0,40,United-States,<=50K,0,0,0,0,0,0,0,0,0,1
31732,60,State-gov,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,55,United-States,<=50K,1,1,1,1,1,1,0,0,0,1
26886,48,State-gov,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,15024,0,50,United-States,>50K,1,1,1,1,1,1,0,0,0,1
17597,47,Private,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,60,United-States,>50K,1,1,0,1,1,1,0,0,-1,0
8788,18,,Some-college,10,Never-married,,Own-child,White,Female,0,1602,20,United-States,<=50K,0,0,0,0,0,0,0,0,0,1
7572,63,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,99999,0,40,United-States,>50K,1,1,1,1,1,1,0,0,0,1
31387,34,State-gov,Bachelors,13,Married-civ-spouse,Tech-support,Own-child,White,Female,5178,0,25,,>50K,1,1,0,0,0,0,1,1,0,0
13591,38,Private,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,35,United-States,<=50K,0,0,0,0,0,0,0,0,0,1
23030,18,Local-gov,HS-grad,9,Never-married,Other-service,Own-child,White,Male,0,0,60,United-States,<=50K,0,0,0,0,0,0,0,0,0,1
11613,59,Private,Some-college,10,Married-civ-spouse,Adm-clerical,Other-relative,White,Female,0,0,16,United-States,>50K,0,0,0,0,0,0,0,0,0,1
9451,33,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,45,United-States,<=50K,0,0,0,0,0,0,0,0,0,1
5497,53,Federal-gov,Masters,14,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,>50K,1,1,1,1,1,1,0,0,0,1
26918,29,Local-gov,11th,7,Divorced,Other-service,Unmarried,Black,Female,0,0,20,United-States,<=50K,0,0,0,0,0,0,0,0,0,1
20988,50,Private,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,70,United-States,<=50K,0,0,0,0,0,0,0,0,0,1
2411,36,Local-gov,Some-college,10,Divorced,Adm-clerical,Unmarried,White,Female,0,0,65,United-States,<=50K,0,0,0,0,0,0,0,0,0,1
29714,26,Private,Assoc-acdm,12,Never-married,Other-service,Own-child,Black,Female,0,0,15,United-States,<=50K,0,0,0,0,0,0,0,0,0,1
26609,18,Self-emp-inc,HS-grad,9,Never-married,Farming-fishing,Own-child,White,Female,0,0,8,United-States,<=50K,0,0,0,0,0,0,0,0,0,1
5846,33,Private,HS-grad,9,Never-married,Other-service,Other-relative,Amer-Indian-Eskimo,Female,0,0,36,United-States,<=50K,0,0,0,0,0,0,0,0,0,1
483,41,Private,HS-grad,9,Married-spouse-absent,Craft-repair,Unmarried,White,Female,0,0,40,United-States,<=50K,0,0,0,0,0,0,0,0,0,1
25429,50,Private,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,7298,0,40,United-States,>50K,1,1,0,1,1,1,0,0,-1,0
29382,26,State-gov,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,38,United-States,<=50K,0,0,0,0,0,0,0,0,0,1
21111,39,Private,HS-grad,9,Never-married,Machine-op-inspct,Not-in-family,Black,Female,0,0,52,United-States,<=50K,0,0,0,0,0,0,0,0,0,1
26381,59,Private,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,0,0,45,Cuba,<=50K,0,0,0,0,0,0,0,0,0,1
7694,37,Self-emp-inc,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,3103,0,50,United-States,>50K,1,0,0,0,0,0,1,0,0,0
6815,45,Private,HS-grad,9,Separated,Tech-support,Not-in-family,White,Female,0,0,26,United-States,<=50K,0,0,0,0,0,0,0,0,0,1
10294,31,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,50,United-States,<=50K,0,0,0,0,0,0,0,0,0,1
5661,19,Private,7th-8th,4,Never-married,Craft-repair,Own-child,White,Male,0,1602,32,United-States,<=50K,0,0,0,0,0,0,0,0,0,1
20544,21,,Some-college,10,Never-married,,Own-child,White,Male,0,0,70,United-States,<=50K,0,0,0,0,0,0,0,0,0,1
4022,31,Private,Assoc-voc,11,Divorced,Sales,Own-child,White,Female,0,0,38,United-States,<=50K,0,0,0,0,0,0,0,0,0,1
28516,31,Private,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,United-States,<=50K,0,0,0,0,0,0,0,0,0,1
25506,18,Private,Some-college,10,Never-married,Sales,Own-child,White,Male,0,0,15,United-States,<=50K,0,0,0,0,0,0,0,0,0,1
23044,53,Self-emp-inc,Some-college,10,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,60,United-States,<=50K,0,0,0,0,0,0,0,0,0,1
11997,24,Private,Bachelors,13,Never-married,Exec-managerial,Own-child,White,Male,0,0,40,United-States,<=50K,0,0,0,0,0,0,0,0,0,1
19833,47,Private,HS-grad,9,Divorced,Transport-moving,Not-in-family,White,Male,0,1590,40,United-States,<=50K,0,0,0,0,0,0,0,0,0,1
22779,27,Private,HS-grad,9,Never-married,Adm-clerical,Not-in-family,Amer-Indian-Eskimo,Female,0,0,8,United-States,<=50K,0,0,0,0,0,0,0,0,0,1
861,43,Private,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,40,Mexico,<=50K,0,0,0,0,0,0,0,0,0,1
23366,53,Local-gov,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1977,55,United-States,>50K,1,1,1,1,1,1,0,0,0,1
2244,63,Federal-gov,Some-college,10,Divorced,Exec-managerial,Unmarried,White,Female,0,0,40,United-States,<=50K,0,1,0,0,0,0,0,1,0,0
15500,35,Federal-gov,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,40,United-States,<=50K,0,0,0,0,0,0,0,0,0,1
9739,36,Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Sales,Husband,Other,Male,0,0,45,,<=50K,0,0,0,0,0,0,0,0,0,1
1739,57,Local-gov,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,72,United-States,<=50K,0,0,0,0,0,0,0,0,0,1
3792,53,Federal-gov,Assoc-acdm,12,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,<=50K,0,0,0,1,1,1,-1,-1,-1,1
28943,23,,Some-college,10,Never-married,,Not-in-family,White,Female,0,0,15,United-States,<=50K,0,0,0,0,0,0,0,0,0,1
28911,20,Private,Some-college,10,Never-married,Sales,Own-child,White,Female,0,0,30,United-States,<=50K,0,0,0,0,0,0,0,0,0,1
18006,66,Self-emp-inc,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,5556,0,26,United-States,>50K,1,1,1,1,1,1,0,0,0,1
1096,62,Private,10th,6,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,<=50K,0,0,0,0,0,0,0,0,0,1
20995,21,Private,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,0,1504,40,United-States,<=50K,0,0,0,0,0,0,0,0,0,1
3137,51,Private,10th,6,Married-civ-spouse,Sales,Husband,White,Male,0,1977,40,United-States,>50K,0,0,0,1,1,1,-1,-1,-1,1
15146,50,Local-gov,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,40,United-States,>50K,1,1,1,1,1,1,0,0,0,1
24376,22,Private,Bachelors,13,Never-married,Prof-specialty,Not-in-family,Amer-Indian-Eskimo,Female,14344,0,40,United-States,>50K,1,1,0,1,1,1,0,0,-1,0
28617,37,Private,Some-college,10,Never-married,Protective-serv,Own-child,Black,Male,0,0,30,United-States,<=50K,0,0,0,0,0,0,0,0,0,1
27811,30,Private,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,>50K,1,0,0,1,1,1,0,-1,-1,0
6113,26,Private,Prof-school,15,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,30,United-States,<=50K,0,0,0,0,0,0,0,0,0,1
6228,24,Private,HS-grad,9,Divorced,Exec-managerial,Not-in-family,Amer-Indian-Eskimo,Female,0,0,50,United-States,<=50K,0,0,0,0,0,0,0,0,0,1
30265,32,Private,HS-grad,9,Never-married,Craft-repair,Unmarried,White,Male,0,0,40,United-States,<=50K,0,0,0,0,0,0,0,0,0,1
18988,26,Local-gov,HS-grad,9,Never-married,Handlers-cleaners,Own-child,Amer-Indian-Eskimo,Male,0,0,30,United-States,<=50K,0,0,0,0,0,0,0,0,0,1
28548,68,,HS-grad,9,Married-civ-spouse,,Wife,White,Female,0,0,8,United-States,<=50K,0,1,0,0,0,0,0,1,0,0
13433,47,Self-emp-not-inc,Some-college,10,Divorced,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,<=50K,0,0,0,0,0,0,0,0,0,1
13111,50,Self-emp-not-inc,Doctorate,16,Divorced,Sales,Not-in-family,White,Male,0,0,64,United-States,<=50K,0,0,1,1,1,1,-1,-1,0,0
10810,21,Private,Assoc-acdm,12,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,25,United-States,<=50K,0,0,0,0,0,0,0,0,0,1
2228,42,Private,Assoc-acdm,12,Married-civ-spouse,Adm-clerical,Wife,Black,Female,0,0,40,United-States,>50K,1,1,1,0,0,0,1,1,1,1
18105,25,Private,Bachelors,13,Never-married,Other-service,Not-in-family,White,Female,0,0,37,United-States,<=50K,0,0,0,0,0,0,0,0,0,1
18302,32,Private,5th-6th,3,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,60,Mexico,<=50K,0,0,0,0,0,0,0,0,0,1
29532,17,Private,9th,5,Never-married,Handlers-cleaners,Own-child,White,Male,0,1719,15,United-States,<=50K,0,0,0,0,0,0,0,0,0,1
6037,26,Self-emp-not-inc,7th-8th,4,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,75,United-States,<=50K,0,0,0,0,0,0,0,0,0,1
11366,37,State-gov,HS-grad,9,Separated,Other-service,Unmarried,White,Female,0,0,40,United-States,<=50K,0,0,0,0,0,0,0,0,0,1
17013,41,Private,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,>50K,1,1,0,1,1,1,0,0,-1,0
29321,36,Private,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,Female,0,0,35,United-States,<=50K,0,0,0,0,0,0,0,0,0,1
26349,25,Private,HS-grad,9,Never-married,Sales,Own-child,White,Female,0,0,40,Columbia,<=50K,0,0,0,0,0,0,0,0,0,1
22278,27,Private,Some-college,10,Divorced,Adm-clerical,Unmarried,White,Female,0,0,44,United-States,<=50K,0,0,0,0,0,0,0,0,0,1
30202,24,Private,HS-grad,9,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,40,United-States,<=50K,0,0,0,0,0,0,0,0,0,1
12914,50,Private,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,48,United-States,<=50K,0,0,0,1,1,1,-1,-1,-1,1
18771,21,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K,0,0,0,0,0,0,0,0,0,1
7624,43,Federal-gov,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,White,Male,7298,0,40,United-States,>50K,1,1,0,1,1,1,0,0,-1,0
7355,37,Self-emp-inc,Some-college,10,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,55,United-States,>50K,0,0,0,0,0,0,0,0,0,1
16346,22,,7th-8th,4,Never-married,,Unmarried,White,Female,0,0,40,Mexico,<=50K,0,0,0,0,0,0,0,0,0,1
27221,48,Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,99999,0,50,United-States,>50K,1,1,1,1,1,1,0,0,0,1
30337,49,Private,Some-college,10,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,>50K,0,0,0,1,1,1,-1,-1,-1,1
15759,42,Private,Assoc-voc,11,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,2407,0,40,United-States,<=50K,0,0,0,0,0,0,0,0,0,1
9187,37,Private,Some-college,10,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,United-States,>50K,0,0,0,0,0,0,0,0,0,1
13340,47,Self-emp-not-inc,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,80,United-States,<=50K,0,0,0,0,0,0,0,0,0,1
14570,61,Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States,>50K,0,0,1,1,1,1,-1,-1,0,0
7336,40,Private,Some-college,10,Married-civ-spouse,Sales,Wife,White,Female,0,0,40,United-States,>50K,1,1,1,0,0,0,1,1,1,1
18929,43,Local-gov,Bachelors,13,Separated,Prof-specialty,Unmarried,White,Female,0,0,40,United-States,<=50K,1,0,1,0,0,0,1,0,1,0
13814,23,Private,Some-college,10,Married-civ-spouse,Sales,Wife,White,Female,0,0,40,United-States,<=50K,0,0,1,0,0,0,0,0,1,0
32434,34,Private,HS-grad,9,Never-married,Handlers-cleaners,Unmarried,White,Female,7443,0,35,United-States,<=50K,0,0,0,0,0,0,0,0,0,1
12961,37,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,60,United-States,>50K,1,1,1,1,1,1,0,0,0,1
10688,58,Self-emp-inc,Assoc-voc,11,Divorced,Sales,Not-in-family,White,Male,2202,0,56,United-States,<=50K,0,0,0,0,0,0,0,0,0,1
5807,17,Private,12th,8,Never-married,Other-service,Own-child,Black,Male,0,0,18,United-States,<=50K,0,0,0,0,0,0,0,0,0,1
22843,59,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40,United-States,<=50K,0,1,1,0,0,0,0,1,1,0
5514,33,Local-gov,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,50,United-States,>50K,0,0,0,0,0,0,0,0,0,1
22256,21,Private,Some-college,10,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,<=50K,0,0,0,0,0,0,0,0,0,1
3121,21,Private,Some-college,10,Never-married,Craft-repair,Own-child,White,Male,0,0,40,United-States,<=50K,0,0,0,0,0,0,0,0,0,1
23694,36,Private,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K,0,0,0,0,0,0,0,0,0,1
7098,32,Private,Some-college,10,Never-married,Tech-support,Not-in-family,White,Female,0,0,20,United-States,<=50K,0,0,0,0,0,0,0,0,0,1
3429,20,Private,Some-college,10,Never-married,Transport-moving,Own-child,White,Female,0,0,40,United-States,<=50K,0,0,0,0,0,0,0,0,0,1
30288,40,Private,HS-grad,9,Separated,Exec-managerial,Unmarried,White,Female,0,0,40,Canada,<=50K,0,0,0,0,0,0,0,0,0,1
28195,28,Private,Some-college,10,Never-married,Adm-clerical,Unmarried,Asian-Pac-Islander,Female,0,0,30,,<=50K,0,0,0,0,0,0,0,0,0,1
9278,36,Private,Bachelors,13,Divorced,Tech-support,Not-in-family,White,Female,0,0,40,United-States,<=50K,0,1,0,0,0,0,0,1,0,0
30415,44,Private,Some-college,10,Separated,Tech-support,Not-in-family,White,Female,0,0,38,United-States,<=50K,1,0,0,0,0,0,1,0,0,0
523,37,Local-gov,Some-college,10,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,45,United-States,>50K,0,0,0,0,0,0,0,0,0,1
2413,50,Private,Some-college,10,Never-married,Farming-fishing,Not-in-family,White,Male,0,0,40,United-States,<=50K,0,0,0,0,0,0,0,0,0,1
10579,36,Private,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,>50K,0,0,0,0,0,0,0,0,0,1
10739,33,Private,HS-grad,9,Never-married,Other-service,Own-child,White,Male,0,0,48,United-States,<=50K,0,0,0,0,0,0,0,0,0,1
28039,29,Private,Assoc-acdm,12,Married-civ-spouse,Tech-support,Wife,White,Female,0,0,40,United-States,<=50K,1,1,1,0,0,0,1,1,1,1
30142,26,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K,0,0,0,0,0,0,0,0,0,1
21750,21,Private,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,0,0,12,United-States,<=50K,0,0,0,0,0,0,0,0,0,1
3609,23,Private,HS-grad,9,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,40,Canada,<=50K,0,0,0,0,0,0,0,0,0,1
10588,19,Private,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,40,United-States,<=50K,0,0,0,0,0,0,0,0,0,1
27204,45,Private,HS-grad,9,Separated,Machine-op-inspct,Unmarried,Black,Female,0,0,40,United-States,<=50K,0,0,0,0,0,0,0,0,0,1
63,42,Private,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,45,United-States,>50K,1,1,1,1,1,1,0,0,0,1
28004,39,Private,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,40,United-States,<=50K,0,0,0,0,0,0,0,0,0,1
21774,22,State-gov,Some-college,10,Never-married,Adm-clerical,Unmarried,Black,Female,0,0,40,United-States,<=50K,0,0,0,0,0,0,0,0,0,1
1412,39,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,>50K,1,1,1,1,1,1,0,0,0,1
26703,29,Private,HS-grad,9,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,40,United-States,<=50K,0,0,0,0,0,0,0,0,0,1
18415,24,Private,Preschool,1,Never-married,Farming-fishing,Not-in-family,White,Male,0,0,36,Mexico,<=50K,0,0,0,0,0,0,0,0,0,1
16936,43,Private,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,>50K,1,1,0,1,1,1,0,0,-1,0
31713,33,Private,Assoc-acdm,12,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,United-States,<=50K,0,0,0,0,0,0,0,0,0,1
31901,33,Private,Bachelors,13,Never-married,Sales,Not-in-family,White,Female,0,0,40,United-States,<=50K,0,1,0,0,0,0,0,1,0,0
22878,35,Self-emp-not-inc,7th-8th,4,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,40,United-States,<=50K,0,0,0,0,0,0,0,0,0,1
9613,55,Private,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,15024,0,50,United-States,>50K,1,1,0,1,1,1,0,0,-1,0
22025,35,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K,0,0,0,0,0,0,0,0,0,1
14504,27,Private,HS-grad,9,Never-married,Sales,Unmarried,Black,Female,0,0,30,United-States,<=50K,0,0,0,0,0,0,0,0,0,1
1985,29,Private,HS-grad,9,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,0,48,United-States,<=50K,0,0,0,0,0,0,0,0,0,1
6309,32,Private,Some-college,10,Divorced,Sales,Not-in-family,White,Female,0,0,55,United-States,<=50K,0,1,0,0,0,0,0,1,0,0
6499,37,Private,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,45,United-States,>50K,0,1,0,1,1,1,-1,0,-1,0
6655,35,Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,Black,Male,0,0,50,Jamaica,>50K,0,0,0,0,0,0,0,0,0,1
29106,27,Private,Some-college,10,Never-married,Machine-op-inspct,Other-relative,White,Female,0,0,40,United-States,<=50K,0,0,0,0,0,0,0,0,0,1
32305,34,Private,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,45,United-States,>50K,0,0,0,0,0,0,0,0,0,1
15374,25,Self-emp-not-inc,Some-college,10,Never-married,Craft-repair,Own-child,White,Male,0,0,80,United-States,<=50K,0,0,0,0,0,0,0,0,0,1
13763,51,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,1579,40,United-States,<=50K,0,0,0,0,0,0,0,0,0,1
28165,38,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,Mexico,<=50K,0,0,0,0,0,0,0,0,0,1
5685,53,Private,Masters,14,Married-civ-spouse,Sales,Husband,White,Male,7298,0,60,United-States,>50K,1,1,1,1,1,1,0,0,0,1
24685,44,Private,Some-college,10,Divorced,Adm-clerical,Unmarried,White,Female,0,0,38,United-States,<=50K,0,0,0,0,0,0,0,0,0,1
13535,54,Private,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,1887,65,United-States,>50K,0,0,0,1,1,1,-1,-1,-1,1
6492,50,Self-emp-inc,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,75,United-States,>50K,1,1,1,1,1,1,0,0,0,1
5719,37,Private,Assoc-voc,11,Divorced,Machine-op-inspct,Not-in-family,White,Female,0,0,30,United-States,<=50K,0,0,0,0,0,0,0,0,0,1
19689,80,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,20,United-States,<=50K,0,0,0,0,0,0,0,0,0,1
12663,48,Private,HS-grad,9,Widowed,Other-service,Unmarried,White,Female,0,0,25,United-States,<=50K,0,0,0,0,0,0,0,0,0,1
16667,45,Self-emp-inc,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,35,United-States,>50K,1,1,1,1,1,1,0,0,0,1
28781,24,Private,Bachelors,13,Never-married,Adm-clerical,Other-relative,Asian-Pac-Islander,Female,0,0,16,United-States,<=50K,0,0,0,0,0,0,0,0,0,1
25590,21,State-gov,Some-college,10,Never-married,Tech-support,Own-child,White,Male,0,0,10,United-States,<=50K,0,0,0,0,0,0,0,0,0,1
