,sex,biased_score
26011,0,0.1037466749548912
29709,1,0.4271640181541443
5017,0,0.052404388785362244
3140,0,0.13613057136535645
796,1,0.9904581308364868
19657,0,0.06459101289510727
15679,1,0.37004807591438293
54234,0,0.052404388785362244
10394,0,0.06202348321676254
38915,0,0.09689915925264359
5892,1,0.017238326370716095
54615,0,0.1822083294391632
23252,0,0.06174570694565773
55696,1,0.9889562129974365
38025,0,0.07631801813840866
7196,0,0.02328965812921524
5258,0,0.7400627136230469
39406,0,0.24278941750526428
25369,0,0.8608558177947998
13541,0,0.003225067863240838
38407,1,0.2640570402145386
55825,0,0.04205218702554703
6556,1,0.3735223114490509
20058,1,0.9399562478065491
57458,0,0.2973318099975586
9565,0,0.10726498812437057
29684,0,0.05781204625964165
3968,1,0.5745612382888794
30142,0,0.051161013543605804
9598,1,0.9445201754570007
14887,1,0.35133489966392517
31291,1,0.9571071267127991
56475,0,0.17560960352420807
53997,1,0.783248782157898
38994,1,0.08279810100793839
43587,0,0.09689915925264359
34037,1,0.9399562478065491
27577,0,0.017270023003220558
5808,0,0.8575028777122498
38361,1,0.3902655243873596
21683,1,0.4415179193019867
46163,1,0.933598518371582
6491,1,0.9915237426757812
46583,0,0.7027591466903687
36066,0,0.051161013543605804
41495,1,0.007541125640273094
18154,0,0.8752301931381226
18671,1,0.5506294369697571
23784,1,0.5745612382888794
43495,0,0.8609932661056519
5644,1,0.3735223114490509
2820,1,0.5506294369697571
22809,0,0.09689915925264359
48475,0,0.7400627136230469
28154,1,0.9399562478065491
306,1,0.35405978560447693
30050,1,0.9449265599250793
9422,1,0.2817000150680542
36505,0,0.8357366919517517
10634,0,0.09689915925264359
25975,1,0.9571071267127991
52034,1,0.22508259117603302
30415,1,0.8977317214012146
11934,1,0.9288236498832703
11810,0,0.18655365705490112
20309,0,0.060259316116571426
5372,0,0.1822083294391632
41182,0,0.1641095131635666
50657,0,0.18655365705490112
55050,1,0.9920679926872253
11242,1,0.10209941864013672
50240,1,0.9920679926872253
10353,1,0.6528568863868713
23223,0,0.8614852428436279
49097,0,0.07631801813840866
13947,0,0.42035233974456787
47515,1,0.9399562478065491
15043,0,0.17560960352420807
6130,1,0.37004807591438293
9609,1,0.3902655243873596
1490,0,0.04205218702554703
15932,1,0.3772783577442169
48786,0,0.20889106392860413
46260,1,0.9399562478065491
25248,0,0.09689915925264359
56199,0,0.07631801813840866
35026,1,0.580453097820282
1314,1,0.5745612382888794
52171,0,0.09689915925264359
38716,1,0.925398051738739
38825,1,0.5754228234291077
5175,0,0.033752430230379105
20024,1,0.6949753761291504
35163,1,0.9399562478065491
44694,0,0.8608558177947998
16504,0,0.8608558177947998
32161,0,0.7759402990341187
16406,1,0.9141694903373718
27604,0,0.05810455232858658
37661,1,0.9399562478065491
34047,0,0.10276306420564651
59805,1,0.37004807591438293
2759,0,0.014529808424413204
21861,0,0.13682116568088531
1731,1,0.5745612382888794
17677,0,0.06202348321676254
40642,0,0.06174570694565773
6336,1,0.9399562478065491
36312,1,0.2995470464229584
18722,0,0.8318770527839661
41529,1,0.9445201754570007
5848,1,0.4343738257884979
21656,0,0.953882098197937
57572,0,0.09306962043046951
10859,1,0.3902655243873596
1895,1,0.933598518371582
21167,0,0.17560960352420807
4701,1,0.9449265599250793
42421,1,0.580453097820282
51399,1,0.8756622672080994
19945,1,0.783248782157898
13301,1,0.933598518371582
28365,0,0.04504237323999405
21734,1,0.9566202759742737
49742,1,0.9399562478065491
19771,0,0.13682116568088531
20820,0,0.09689915925264359
39570,0,0.06775902211666107
17629,1,0.5506294369697571
9527,0,0.8608558177947998
1340,1,0.783248782157898
55453,0,0.13682116568088531
1588,1,0.9536880850791931
21113,0,0.060259316116571426
10862,0,0.8608558177947998
10739,0,0.03592991828918457
10997,0,0.13613057136535645
50587,1,0.9449265599250793
12953,1,0.427556574344635
14735,1,0.035455524921417236
54209,0,0.7400627136230469
16148,0,0.060259316116571426
58548,0,0.07631801813840866
58417,1,0.8530142903327942
59918,1,0.9449265599250793
49134,1,0.9037352800369263
50872,1,0.20590651035308838
3966,1,0.9557764530181885
33411,0,0.21463057398796082
12997,1,0.4271640181541443
33923,1,0.5506294369697571
45098,1,0.35405978560447693
9442,0,0.45052239298820496
14894,0,0.8614852428436279
23373,1,0.11170239001512527
1258,1,0.5685655474662781
33650,0,0.18749931454658508
8422,0,0.04454147443175316
2777,1,0.2995470464229584
54429,0,0.022788919508457184
12780,1,0.017238326370716095
51906,0,0.1641095131635666
36257,1,0.9449265599250793
36155,0,0.006939058657735586
3403,1,0.5745612382888794
40993,1,0.9449434280395508
30411,1,0.9449265599250793
19558,1,0.9282674193382263
35427,1,0.37004807591438293
60242,0,0.13613057136535645
36133,1,0.9247418642044067
29280,0,0.8515620231628418
36202,1,0.9282674193382263
21606,1,0.22940102219581604
26528,1,0.925398051738739
54705,1,0.9160712957382202
12006,1,0.9033746719360352
32474,1,0.7865766286849976
58257,1,0.580453097820282
57637,0,0.1641095131635666
50922,0,0.09307333827018738
50493,1,0.4266643226146698
5557,1,0.9160712957382202
53631,0,0.7958973050117493
7938,0,0.06228902190923691
44822,1,0.3735223114490509
46633,0,0.17560960352420807
10417,1,0.5685655474662781
230,0,0.06228902190923691
17804,0,0.6498018503189087
48295,1,0.37004807591438293
30397,1,0.5754228234291077
40817,0,0.04205218702554703
1041,0,0.09614115208387375
30255,0,0.26565298438072205
13261,0,0.13408248126506805
17995,0,0.07631801813840866
26163,1,0.9449265599250793
16509,0,0.6672831773757935
41422,1,0.8079143762588501
45340,1,0.580453097820282
52363,0,0.09442749619483948
443,0,0.8515620231628418
28431,1,0.9399562478065491
33794,1,0.5472475290298462
26277,0,0.008907661773264408
28816,1,0.5745612382888794
26828,1,0.5685655474662781
21948,1,0.9417861700057983
18127,0,0.03592991828918457
33266,1,0.2772219479084015
22792,1,0.9449265599250793
56336,0,0.04205218702554703
4061,1,0.4415179193019867
23265,0,0.2973318099975586
46495,0,0.060259316116571426
51781,1,0.4063304662704468
42455,0,0.6854924559593201
56307,0,0.05781204625964165
15710,0,0.8440980315208435
57900,1,0.580453097820282
32998,1,0.9500959515571594
19375,0,0.8609932661056519
59316,1,0.44066673517227173
1413,0,0.28451773524284363
12311,1,0.4181254506111145
1493,1,0.12652309238910675
36953,1,0.1916334480047226
22873,0,0.09306962043046951
47195,1,0.580453097820282
47570,1,0.3902655243873596
33627,0,0.13682116568088531
46618,1,0.5745612382888794
7869,1,0.3373814821243286
3784,1,0.4317028820514679
19478,0,0.13613057136535645
6972,1,0.9571071267127991
8002,1,0.9306359887123108
18273,0,0.13613057136535645
14584,0,0.8462326526641846
45085,0,0.8143014907836914
31311,0,0.060259316116571426
4739,1,0.4063304662704468
15281,1,0.9160712957382202
58964,0,0.06431565433740616
45154,1,0.9449265599250793
23298,1,0.9399562478065491
42446,0,0.8608558177947998
11357,1,0.4271640181541443
47843,1,0.9449434280395508
42374,1,0.35405978560447693
43986,1,0.007541125640273094
194,0,0.8752301931381226
38380,0,0.13682116568088531
18347,0,0.02803204581141472
43774,1,0.4271640181541443
58584,0,0.006939058657735586
25558,0,0.8515620231628418
20515,1,0.3373814821243286
31660,0,0.7400627136230469
1037,0,0.09689915925264359
39194,1,0.8817625045776367
18639,0,0.8575028777122498
36272,1,0.5506294369697571
33609,1,0.5685655474662781
24879,1,0.8817625045776367
31456,1,0.5685655474662781
17663,0,0.052404388785362244
48898,1,0.2995470464229584
8447,0,0.6854924559593201
11391,0,0.060259316116571426
33304,1,0.5754228234291077
3910,1,0.8817625045776367
6375,1,0.37004807591438293
15271,1,0.933598518371582
58465,0,0.8609932661056519
5934,0,0.1641095131635666
43157,0,0.1729944944381714
7977,0,0.006939058657735586
22070,0,0.24278941750526428
53910,1,0.5754228234291077
57924,1,0.9449434280395508
58424,1,0.8977317214012146
53683,0,0.43145835399627686
6488,1,0.7031369209289551
762,1,0.9449265599250793
39261,0,0.026316042989492416
46921,1,0.444648802280426
56462,1,0.4271640181541443
10268,1,0.5754228234291077
53123,0,0.09689915925264359
18334,0,0.21463057398796082
28912,0,0.7759402990341187
11899,0,0.13613057136535645
10116,0,0.03461514040827751
43459,0,0.06459101289510727
50373,0,0.8462326526641846
31696,1,0.017238326370716095
42087,1,0.9399562478065491
2296,1,0.8152665495872498
59954,0,0.8608558177947998
55901,1,0.9033746719360352
1278,0,0.42035233974456787
46590,1,0.8152665495872498
27156,0,0.006939058657735586
58087,1,0.9160712957382202
28953,1,0.44066673517227173
39352,1,0.9033746719360352
25541,0,0.06228902190923691
19844,0,0.8515620231628418
51680,0,0.8277146816253662
51844,0,0.8614852428436279
5988,0,0.8608558177947998
12585,1,0.5745612382888794
33453,0,0.10726498812437057
19436,0,0.05810455232858658
41177,0,0.09307333827018738
20164,1,0.7963873744010925
32119,1,0.9449434280395508
57012,1,0.9449434280395508
41030,1,0.37004807591438293
8527,1,0.22656254470348358
53576,1,0.9323845505714417
49320,1,0.8045291304588318
40984,0,0.1641095131635666
4964,1,0.37004807591438293
42111,0,0.9851918816566467
53071,0,0.8575028777122498
16149,0,0.019620073959231377
56758,0,0.8277146816253662
54584,0,0.8608558177947998
24106,0,0.07631801813840866
56980,0,0.06459101289510727
32422,1,0.276359885931015
3262,0,0.8609932661056519
21125,1,0.580453097820282
33961,1,0.49458086490631104
32304,1,0.3735223114490509
34108,1,0.22940102219581604
28918,1,0.5745612382888794
860,0,0.052404388785362244
34403,0,0.06202348321676254
1364,1,0.5754228234291077
38966,0,0.8515620231628418
5894,0,0.24278941750526428
53563,1,0.5745612382888794
20181,0,0.06202348321676254
11028,1,0.9399562478065491
42352,0,0.8905282616615295
16655,1,0.049524497240781784
38360,0,0.13682116568088531
22356,1,0.4343738257884979
523,1,0.4271640181541443
11813,1,0.4343738257884979
35910,1,0.925398051738739
58742,1,0.929800808429718
45164,1,0.14437611401081085
37261,0,0.03729701787233353
59640,0,0.04348331689834595
11287,0,0.04348331689834595
31104,1,0.933598518371582
51754,1,0.20133043825626373
48574,0,0.13613057136535645
5342,1,0.9323621392250061
53927,1,0.8815454244613647
43133,1,0.4415179193019867
48746,1,0.3902655243873596
24747,0,0.05810455232858658
949,0,0.1641095131635666
56,1,0.4415179193019867
16692,0,0.8608558177947998
25916,0,0.16909319162368774
1325,1,0.7963873744010925
13897,1,0.8530142903327942
41567,1,0.2676866352558136
2470,0,0.22236759960651398
36824,1,0.5472475290298462
29502,0,0.17560960352420807
33846,0,0.06228902190923691
57604,1,0.580453097820282
21815,1,0.22940102219581604
55557,0,0.7403351664543152
26315,1,0.9449434280395508
54530,0,0.13613057136535645
3845,1,0.37004807591438293
21166,1,0.20405392348766327
30757,0,0.025025613605976105
24090,0,0.8671730756759644
46446,1,0.007541125640273094
41164,1,0.522270143032074
277,1,0.5754228234291077
14956,0,0.09689915925264359
24275,1,0.8152665495872498
19435,1,0.9160712957382202
16684,1,0.928706169128418
32703,0,0.8515620231628418
1331,0,0.7400627136230469
32709,1,0.37321844696998596
39601,1,0.9160712957382202
57662,1,0.580453097820282
24270,0,0.19648191332817078
6050,0,0.8515620231628418
131,1,0.44066673517227173
13637,1,0.22940102219581604
26257,1,0.9449265599250793
46525,0,0.04504237323999405
48951,0,0.8609932661056519
9343,0,0.8614852428436279
897,1,0.5472475290298462
24452,1,0.21654081344604492
23898,1,0.8530142903327942
39931,0,0.8575028777122498
17559,1,0.5685655474662781
2976,0,0.8608558177947998
28828,0,0.1918390989303589
10370,1,0.12652309238910675
28821,1,0.24893395602703094
58304,1,0.8530142903327942
26462,0,0.7613105773925781
47937,1,0.9160712957382202
45458,0,0.01921267807483673
26820,1,0.8817625045776367
33831,0,0.04205218702554703
44027,1,0.933598518371582
30051,0,0.06202348321676254
37456,1,0.9336274862289429
52337,1,0.8787482976913452
46164,1,0.9399562478065491
51645,1,0.5745612382888794
20809,1,0.2640570402145386
5402,1,0.007541125640273094
33680,0,0.8143014907836914
12934,1,0.9449434280395508
33945,1,0.925398051738739
37233,0,0.06174570694565773
23028,0,0.09306962043046951
2610,0,0.8024867177009583
20112,1,0.007541125640273094
54066,1,0.9399562478065491
50794,0,0.1918390989303589
40255,1,0.925398051738739
15497,1,0.9512712955474854
20234,0,0.06174570694565773
13179,0,0.42035233974456787
18486,1,0.9904581308364868
37312,0,0.09442749619483948
7142,0,0.13682116568088531
45913,0,0.13613057136535645
12241,0,0.06459101289510727
25492,0,0.07753672450780869
29317,0,0.7430676221847534
50390,0,0.06883782148361206
35501,1,0.5754228234291077
45745,0,0.8752301931381226
46468,1,0.9449434280395508
39452,1,0.35405978560447693
4376,1,0.933598518371582
18524,0,0.06228902190923691
27145,1,0.933598518371582
5646,1,0.8927527666091919
31146,1,0.9536880850791931
16709,0,0.8575028777122498
16235,1,0.9033746719360352
32651,0,0.8608558177947998
18564,0,0.8440980315208435
35782,0,0.060259316116571426
13874,1,0.35405978560447693
32995,1,0.18922339379787445
10525,1,0.24893395602703094
8931,0,0.03726467490196228
393,1,0.9449265599250793
7820,0,0.8851699233055115
14961,0,0.060259316116571426
10759,0,0.8711018562316895
33921,0,0.6887478828430176
37716,0,0.832126259803772
27034,0,0.13682116568088531
30306,1,0.20892541110515594
55535,0,0.8515620231628418
44729,1,0.925398051738739
54655,1,0.9399562478065491
17713,1,0.9160712957382202
18880,0,0.0027946210466325283
36921,0,0.015953678637742996
3609,0,0.1641095131635666
4832,1,0.5685655474662781
41232,1,0.00946342758834362
7135,0,0.8575028777122498
14248,1,0.9449434280395508
31474,0,0.15622112154960632
19318,0,0.7035703659057617
22895,1,0.9721673130989075
22889,1,0.522270143032074
59078,1,0.5685655474662781
28621,1,0.37004807591438293
42662,1,0.20590651035308838
3257,1,0.933598518371582
24414,0,0.060259316116571426
21879,0,0.13682116568088531
49676,0,0.06174570694565773
5339,1,0.013236155733466148
22003,0,0.19648191332817078
30386,1,0.9925287961959839
51316,0,0.13613057136535645
11977,0,0.7786139845848083
25476,1,0.44066673517227173
36457,0,0.9085884690284729
24823,1,0.5754228234291077
46302,1,0.21654081344604492
27437,0,0.060259316116571426
40953,1,0.3735223114490509
5262,0,0.047591716051101685
18732,0,0.1918390989303589
9596,0,0.13613057136535645
37642,0,0.4542103409767151
9946,1,0.9185807704925537
26306,1,0.9160712957382202
15146,1,0.9571071267127991
2100,0,0.17560960352420807
32278,0,0.17560960352420807
54391,0,0.03589508309960365
52010,0,0.07631801813840866
39979,1,0.9025172591209412
38090,1,0.9536880850791931
17543,0,0.17560960352420807
29737,1,0.049524497240781784
50017,1,0.933598518371582
49621,0,0.8462326526641846
47215,0,0.13613057136535645
33116,1,0.9033746719360352
51396,1,0.10209941864013672
47586,1,0.3902655243873596
47187,1,0.5685655474662781
50729,1,0.8902434706687927
4457,1,0.925398051738739
16893,1,0.580453097820282
35229,1,0.35405978560447693
55345,0,0.13682116568088531
14386,1,0.17097967863082886
46778,0,0.03592991828918457
26653,0,0.1037466749548912
43342,0,0.006939058657735586
38693,0,0.43145835399627686
30679,0,0.1641095131635666
48035,1,0.017238326370716095
37441,1,0.9449434280395508
43953,1,0.3902655243873596
21291,1,0.16472317278385162
28196,1,0.8927527666091919
40021,0,0.1729944944381714
11336,1,0.5472475290298462
54696,0,0.03726467490196228
32627,1,0.5685655474662781
47342,0,0.13682116568088531
56316,0,0.18749931454658508
28836,1,0.20892541110515594
13502,0,0.1729944944381714
39748,0,0.03729701787233353
28230,1,0.8977317214012146
55642,1,0.925398051738739
49364,0,0.9225394129753113
1134,1,0.9449265599250793
25031,0,0.7052627205848694
38539,0,0.003225067863240838
16598,1,0.9303292036056519
7422,1,0.37004807591438293
58163,1,0.18594516813755035
52550,1,0.5506294369697571
23537,0,0.09689915925264359
6741,1,0.5745612382888794
12071,0,0.07460588961839676
13563,1,0.8530142903327942
51073,0,0.8609932661056519
29112,1,0.9399562478065491
40797,1,0.3902655243873596
44217,1,0.276359885931015
54401,0,0.13682116568088531
55034,0,0.09689915925264359
24273,1,0.925398051738739
6398,0,0.8462326526641846
44539,0,0.21869675815105438
37729,1,0.5754228234291077
15868,0,0.9362791776657104
14437,0,0.13613057136535645
53113,1,0.37004807591438293
25131,0,0.09689915925264359
15525,1,0.9160712957382202
6871,1,0.444648802280426
59163,0,0.8752301931381226
13778,0,0.07222074270248413
28306,0,0.13613057136535645
5401,1,0.9575983285903931
48996,0,0.003225067863240838
60156,0,0.21869675815105438
48981,0,0.8916951417922974
46592,1,0.8817625045776367
9295,0,0.8143014907836914
17766,1,0.9399562478065491
19240,0,0.8296816945075989
29509,0,0.13682116568088531
58702,0,0.8916951417922974
26876,1,0.2676866352558136
47452,0,0.8575028777122498
51534,0,0.13682116568088531
9408,1,0.22940102219581604
37734,0,0.8143014907836914
57557,1,0.017238326370716095
1107,1,0.933598518371582
685,0,0.07631801813840866
12500,0,0.07631801813840866
34120,0,0.11198371648788452
45613,1,0.8458249568939209
372,1,0.017238326370716095
54766,1,0.580453097820282
45565,1,0.007541125640273094
44032,1,0.5754228234291077
28009,1,0.017085382714867592
45981,0,0.06174570694565773
34408,0,0.8462326526641846
10623,1,0.925398051738739
22638,1,0.9399562478065491
51701,0,0.1641095131635666
26125,0,0.20889106392860413
43116,1,0.007541125640273094
8276,1,0.20590651035308838
15741,1,0.5472475290298462
50016,1,0.925398051738739
2243,0,0.1918390989303589
45522,0,0.07631801813840866
44021,0,0.022858304902911186
24544,0,0.8608558177947998
22085,1,0.3735223114490509
15781,1,0.5472475290298462
45900,0,0.643689751625061
15621,1,0.5745612382888794
26196,0,0.17560960352420807
32511,0,0.1641095131635666
29121,1,0.4266643226146698
26823,0,0.8752301931381226
3,1,0.24893395602703094
25949,1,0.4343738257884979
2712,0,0.03726467490196228
39345,1,0.580453097820282
59125,0,0.18655365705490112
9041,1,0.9536880850791931
33903,0,0.051161013543605804
55790,1,0.8079143762588501
13219,0,0.8614852428436279
59643,1,0.9449265599250793
8642,0,0.02785896137356758
47521,1,0.5506294369697571
336,0,0.006939058657735586
5580,0,0.7720831036567688
57353,0,0.8217142820358276
55380,0,0.18655365705490112
26936,1,0.37004807591438293
60186,0,0.8671730756759644
22965,1,0.16472317278385162
32608,0,0.09689915925264359
23592,1,0.9160712957382202
52743,0,0.7853295803070068
1354,1,0.21654081344604492
10491,1,0.12652309238910675
9302,0,0.8575028777122498
57550,1,0.30950862169265747
58164,0,0.01921267807483673
14439,0,0.060259316116571426
24787,1,0.3772783577442169
6365,0,0.8440980315208435
29899,1,0.9160712957382202
8399,0,0.07631801813840866
54432,1,0.5685655474662781
24128,0,0.09626597166061401
45956,1,0.3772783577442169
42772,0,0.9509832859039307
3600,1,0.4271640181541443
51096,0,0.13682116568088531
21632,0,0.6854924559593201
6574,1,0.2676866352558136
56617,1,0.10209941864013672
15530,0,0.1918390989303589
56693,0,0.7035703659057617
4153,1,0.37004807591438293
49434,0,0.24278941750526428
57671,0,0.18655365705490112
36109,0,0.18719705939292908
44353,1,0.3772783577442169
7557,1,0.9449265599250793
13647,0,0.6854924559593201
41405,0,0.006939058657735586
42659,0,0.023789668455719948
677,1,0.5754228234291077
19765,1,0.5754228234291077
52926,0,0.13682116568088531
60173,1,0.933598518371582
7479,1,0.5685655474662781
11970,1,0.4271640181541443
46063,0,0.014529808424413204
40194,0,0.42035233974456787
50210,0,0.07384654879570007
55179,0,0.8614852428436279
3753,1,0.2640570402145386
45429,0,0.02803204581141472
10197,1,0.22940102219581604
16145,0,0.8024867177009583
47318,0,0.1729944944381714
42799,0,0.25042644143104553
11014,0,0.8024867177009583
19145,1,0.5506294369697571
26730,1,0.4317028820514679
16115,1,0.9449265599250793
40542,1,0.8530142903327942
57766,0,0.8462326526641846
57233,0,0.01921267807483673
58063,0,0.006939058657735586
40735,1,0.9160712957382202
39361,0,0.17560960352420807
1612,1,0.9566202759742737
46693,0,0.8515620231628418
59129,1,0.21792878210544586
20945,0,0.01921267807483673
21523,0,0.06174570694565773
18644,0,0.06202348321676254
17830,0,0.003225067863240838
7747,0,0.13682116568088531
55341,0,0.0039783623069524765
45396,1,0.4343738257884979
32523,1,0.8787482976913452
59442,0,0.9362791776657104
39251,0,0.03308340162038803
17771,0,0.8515620231628418
38373,0,0.8608558177947998
22137,0,0.09306962043046951
11908,0,0.9563105702400208
5619,0,0.03592991828918457
58213,1,0.580453097820282
45757,0,0.06202348321676254
60047,1,0.8841371536254883
49011,0,0.8575028777122498
18853,0,0.06174570694565773
4424,1,0.017238326370716095
58825,1,0.8927527666091919
43513,0,0.18655365705490112
52226,1,0.9694393277168274
55223,0,0.1641095131635666
19684,0,0.003225067863240838
497,1,0.8530142903327942
52428,0,0.8608558177947998
9073,0,0.10853730887174606
27365,1,0.5954304337501526
6092,1,0.9928420782089233
6017,1,0.5745612382888794
24138,1,0.5745612382888794
22444,1,0.9469338059425354
46606,1,0.9449434280395508
59250,0,0.03592991828918457
27852,0,0.03974485397338867
9345,0,0.8440980315208435
53882,0,0.1641095131635666
5088,1,0.22940102219581604
36736,1,0.9449265599250793
23746,0,0.2310764640569687
29257,1,0.3735223114490509
12487,1,0.4343738257884979
9189,0,0.06202348321676254
57931,1,0.8817625045776367
22714,1,0.5264641046524048
24891,0,0.039056356996297836
12042,0,0.21869675815105438
51886,1,0.5745612382888794
41275,1,0.9449265599250793
44029,1,0.933598518371582
34649,0,0.06228902190923691
22470,1,0.580453097820282
57181,1,0.017238326370716095
26212,0,0.06202348321676254
27419,1,0.6626402139663696
51818,1,0.4063304662704468
52947,0,0.05781204625964165
17218,0,0.1822083294391632
5821,0,0.8462326526641846
50652,1,0.2995470464229584
56138,0,0.18749931454658508
58316,1,0.3373814821243286
33344,0,0.38015657663345337
34053,1,0.5322810411453247
57272,0,0.0771668404340744
31540,0,0.21869675815105438
38267,1,0.37004807591438293
47771,0,0.8515620231628418
58226,1,0.8079143762588501
28391,1,0.5745612382888794
51013,1,0.5745612382888794
23379,0,0.07631801813840866
13461,1,0.5754228234291077
27709,0,0.17560960352420807
26772,0,0.04504237323999405
